x,y,z
0.001,3,143
0.001,5,121
0.001,10,195
0.001,20,165
0.005,3,75
0.005,5,58
0.005,10,79
0.005,20,49
0.01,3,63
0.01,5,43
0.01,10,48
0.01,20,53
0.05,3,134
0.05,5,133
0.05,10,63
0.05,20,170
